Name	Diminutive	Gender
Стаха	Сташенька	masc
Стас	Стасик	masc
Стася	Стасик	femn
Даша	Дашенька	femn
Даша	Дашуля	femn
Даша	Дашечка	femn
Таша	Ташуня	masc
Глаша	Глашенька	femn
Оля	Оленька	femn
Оля	Олюшка	femn
Олег	Олежек	masc
Олег	Олежка	masc
Олежек	Олежечка	masc
Осип	Осипушка	masc
Орест	Орестушка	femn
Вася	Васенька	masc
Володя	Володенька	masc
Алёша	Алёшенька	masc
Лёша	Лёшенька	masc
Людмила	Людмилочка	femn
Вика	Викуся	femn
Дана	Дануся	neut
Дана	Данушка	neut
Дануся	Данусенька	femn
Домна	Доминушка	femn
Коля	Коленька	neut
Коля	Колечка	neut
Петя	Петенька	masc
Петя	Петюня	masc
Котя	Котечка	femn
Витя	Витенька	masc
Андрей	Андрюша	masc
Андрюша	Андрюшенька	masc
Вася	Васютка	masc
Клава	Клавочка	femn
Клара	Кларочка	femn
Наташа	Наташенька	femn
Наталья	Натальюшка	femn
Полина	Полиночка	femn
Поля	Полечка	neut
Ирина	Ириночка	femn
Ира	Ирочка	neut
Ириша	Иришечка	masc
Надя	Наденька	femn
Адя	Адюша	femn
Лида	Лидочка	femn
Лиза	Лизочка	femn
Люда	Людочка	neut
Люда	Людусик	neut
Катя	Катенька	neut
Катя	Катюха	neut
Надя	Надюха	femn
Надюха	Надюша	femn
Рома	Ромочка	masc
Яша	Яшенька	masc
Миша	Мишенька	masc
Гриша	Гришенька	masc
Юра	Юрочка	neut
Юра	Юрик	neut
Артём	Артёмчик	masc
Тёма	Тёмочка	masc
Влад	Владик	femn
Слава	Славик	femn
Бронислава	Брониславочка	masc
Гоша	Гошечка	masc
Егор	Егорушка	masc
Таня	Танюшка	femn
Рина	Ришенька	femn
Ирина	Ириша	femn
Арина	Аришка	masc
Марина	Мариша	masc
Марина	Мариночка	masc
Римма	Риммочка	femn
Маша	Машечка	femn
Кристина	Кристюля	femn
Кристина	Кристёна	femn
Кристя	Кристик	masc
Нина	Нинуся	femn
Нина	Нинуленька	femn
Вера	Верочка	femn
Митя	Митенька	masc
Митя	Митюша	masc
Тося	Тосечка	femn
Кеша	Кешенька	masc
Кеша	Кешунчик	masc
Дима	Димочка	masc
Николай	Николаюшка	masc
Ирина	Иринушка	femn
Юля	Юлечка	neut
